Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target
37,No,Low Income,,No,Yes,0
36,No,Middle Income,3,Yes,No,0
37,Yes,High Income,1,Yes,No,1
31,No,Low Income,1,Yes,No,0
37,No,Middle Income,2,No,No,0
37,No,Middle Income,6,No,Yes,0
31,Yes,Low Income,1,No,No,0
35,No,Middle Income,5,Yes,No,1
30,No,Middle Income,2,No,No,0
36,Yes,Low Income,1,No,No,0
,Yes,High Income,1,No,Yes,0
36,No,Middle Income,1,Yes,Yes,0
37,No,Low Income,2,Yes,No,1
30,No,Middle Income,3,No,Yes,0
33,Yes,High Income,,No,No,1
31,No,Low Income,1,No,Yes,0
30,No,Low Income,2,No,No,0
37,No,Middle Income,1,Yes,Yes,0
31,Yes,Low Income,1,No,No,0
37,No,Middle Income,3,No,No,0
,No,Middle Income,6,No,Yes,0
28,No Record,Low Income,,Yes,Yes,0
30,Yes,High Income,1,Yes,No,0
31,No,Low Income,1,No,Yes,0
35,No,Low Income,2,No,No,0
28,No,Middle Income,3,No,Yes,0
,Yes,High Income,1,No,No,1
30,No,Low Income,1,Yes,No,0
,No,Middle Income,,No,No,0
31,No,Middle Income,1,No,Yes,0
30,Yes,Low Income,1,Yes,Yes,1
30,No,Middle Income,3,Yes,No,0
35,No Record,Middle Income,2,Yes,No,0
30,No,Low Income,5,No,No,0
30,Yes,High Income,1,No,No,0
,No,Middle Income,6,No,Yes,0
,No,Low Income,2,No,No,0
31,No,Low Income,3,Yes,Yes,0
,Yes,High Income,1,No,No,1
30,No,Low Income,1,Yes,No,0
,No,Middle Income,2,No,Yes,0
,No,Middle Income,1,Yes,Yes,0
,Yes,Low Income,,Yes,No,1
31,No Record,Middle Income,3,No,No,0
27,No,Low Income,2,No,No,1
38,No,Low Income,1,No,Yes,0
30,Yes,High Income,5,No,No,0
38,No,Middle Income,1,Yes,Yes,0
36,No,Low Income,2,Yes,No,1
35,No,Middle Income,,No,No,0
28,Yes,High Income,6,No,Yes,1
,Yes,Low Income,1,Yes,No,0
30,No,Middle Income,2,Yes,No,0
27,No,Middle Income,1,No,Yes,0
30,Yes,Low Income,1,No,No,0
31,No,Middle Income,3,No,Yes,0
30,No,Middle Income,,No,No,0
,No,Low Income,1,Yes,No,0
31,Yes,High Income,1,No,No,0
,No,Middle Income,5,No,Yes,0
,No,Low Income,2,No,Yes,0
33,No,Middle Income,3,Yes,Yes,0
31,Yes,High Income,1,Yes,No,1
30,No,Low Income,,No,No,0
36,No,Middle Income,2,No,No,0
28,No Record,Low Income,6,No,Yes,0
31,Yes,Low Income,1,Yes,No,1
,No,Middle Income,3,Yes,No,0
37,No,Middle Income,2,No,No,0
,No,Low Income,1,No,Yes,0
28,Yes,High Income,,No,Yes,1
30,No,Middle Income,1,Yes,Yes,0
28,No,Low Income,5,Yes,No,1
,No,Middle Income,3,No,No,0
30,Yes,High Income,1,No,No,1
37,No,Low Income,1,Yes,Yes,0
27,No Record,Middle Income,2,No,No,1
,No,Middle Income,,Yes,Yes,0
36,Yes,Low Income,1,No,No,0
35,Yes,Low Income,3,No,No,1
28,No,Middle Income,6,No,Yes,1
36,No,Low Income,1,Yes,No,0
,Yes,High Income,1,Yes,No,0
37,No,Middle Income,1,No,Yes,0
31,No,Low Income,,Yes,No,1
28,No,Middle Income,5,No,Yes,0
31,Yes,High Income,1,No,No,1
36,No Record,Low Income,1,Yes,No,0
36,No,Middle Income,2,No,No,0
31,No,Middle Income,1,No,Yes,0
30,Yes,Low Income,1,No,Yes,0
,No,Middle Income,,Yes,No,0
38,No,Middle Income,2,Yes,No,0
38,Yes,Low Income,1,Yes,Yes,0
,Yes,High Income,1,No,No,0
27,No,Middle Income,6,No,Yes,0
35,No,Low Income,2,No,No,0
30,No,Middle Income,3,Yes,No,0
,Yes,High Income,5,No,No,1
31,No,Low Income,1,No,No,0
31,No,Low Income,2,No,Yes,0
,No,Middle Income,1,Yes,Yes,0
,Yes,Low Income,1,Yes,No,1
37,No,Middle Income,3,No,No,0
36,No,Middle Income,2,No,No,0
,No,Low Income,,No,Yes,0
30,Yes,High Income,1,No,No,0
31,No,Low Income,1,Yes,Yes,0
31,No,Low Income,2,No,No,0
31,No Record,Middle Income,3,No,Yes,0
37,Yes,High Income,6,No,Yes,1
30,No,Low Income,5,Yes,No,0
31,No,Middle Income,,Yes,No,0
38,No,Middle Income,1,No,Yes,0
28,Yes,Low Income,1,No,No,1
30,No,Middle Income,3,No,Yes,0
27,No,Middle Income,2,No,No,1
27,No,Low Income,1,Yes,No,0
30,Yes,High Income,1,No,No,0
36,No,Middle Income,,No,Yes,0
27,No Record,Low Income,2,Yes,Yes,1
,Yes,Low Income,3,Yes,No,1
37,Yes,High Income,1,Yes,No,1
38,No,Low Income,1,No,No,0
37,No,Middle Income,5,No,No,1
37,No,Middle Income,6,No,Yes,0
37,Yes,Low Income,,No,No,0
37,No,Middle Income,3,Yes,No,0
36,Yes,Low Income,2,No,No,0
35,No,Low Income,1,Yes,No,0
30,Yes,High Income,1,No,Yes,0
30,No Record,Middle Income,1,Yes,Yes,0
30,No,Low Income,2,Yes,No,1
30,No,Middle Income,,No,Yes,0
30,Yes,High Income,1,No,No,1
,Yes,Low Income,1,No,Yes,0
30,No,Middle Income,2,No,No,0
30,No,Middle Income,5,Yes,Yes,0
,Yes,Low Income,1,Yes,No,1
37,No,Middle Income,3,No,No,0
30,No,Middle Income,6,No,Yes,0
,No,Low Income,1,Yes,Yes,0
33,Yes,High Income,1,Yes,No,0
,No,Middle Income,1,No,Yes,0
38,No,Low Income,2,No,No,0
31,No,Middle Income,3,No,Yes,0
30,Yes,High Income,1,No,No,1
35,No,Low Income,,Yes,No,0
30,No,Middle Income,2,No,No,0
37,Yes,Low Income,1,No,Yes,0
,Yes,Low Income,5,No,Yes,0
30,No,Middle Income,3,Yes,No,0
,No,Middle Income,2,Yes,No,0
30,No Record,Low Income,1,No,No,0
27,Yes,High Income,,No,No,1
30,No,Middle Income,6,No,Yes,0
36,Yes,Low Income,2,Yes,No,1
37,No,Middle Income,3,Yes,Yes,0
30,Yes,High Income,1,No,No,1
37,No,Low Income,1,No,No,0
30,No,Middle Income,2,No,Yes,0
27,No,Middle Income,,Yes,Yes,0
37,Yes,Low Income,1,Yes,No,1
28,No,Low Income,5,No,No,0
,No Record,Middle Income,2,No,No,0
,No,Low Income,1,Yes,Yes,0
37,Yes,High Income,1,No,No,0
28,No,Middle Income,1,Yes,Yes,0
30,No,Low Income,,No,No,0
35,No,Middle Income,3,No,No,0
30,Yes,High Income,6,No,Yes,1
30,No,Low Income,1,Yes,No,0
37,No,Middle Income,2,Yes,No,0
30,No,Middle Income,1,No,Yes,0
30,Yes,Low Income,1,Yes,No,1
28,No Record,Middle Income,,No,Yes,0
36,No,Middle Income,5,No,No,1
36,Yes,Low Income,1,Yes,No,0
,Yes,High Income,1,No,No,0
35,No,Middle Income,1,No,Yes,0
30,No,Low Income,2,No,Yes,0
,No,Middle Income,3,Yes,Yes,0
30,Yes,High Income,,Yes,No,1
33,No,Low Income,1,Yes,No,0
37,Yes,Low Income,2,No,No,0
30,No,Middle Income,6,No,Yes,0
30,Yes,Low Income,1,No,No,0
28,No,Middle Income,3,Yes,No,0
35,No,Middle Income,2,No,No,0
37,No,Low Income,5,No,Yes,1
30,Yes,High Income,1,No,Yes,0
30,No,Low Income,1,Yes,Yes,0
28,No,Low Income,2,Yes,No,1
36,No,Middle Income,3,No,No,0
28,Yes,High Income,1,No,No,1
30,No,Low Income,1,No,Yes,0
31,No,Middle Income,,No,No,0
,No Record,Middle Income,1,Yes,Yes,0
33,Yes,Low Income,1,No,No,0
,No,Middle Income,3,No,No,0
,No,Middle Income,6,No,Yes,0
31,No,Low Income,1,Yes,No,0
,Yes,High Income,5,Yes,No,0
27,No,Middle Income,,No,Yes,0
28,No,Low Income,2,No,No,1
31,No,Low Income,3,No,Yes,0
30,Yes,High Income,1,No,No,1
28,No,Low Income,1,Yes,No,0
30,No Record,Middle Income,2,No,No,0
27,No,Middle Income,1,No,Yes,0
37,Yes,Low Income,,Yes,Yes,1
36,No,Middle Income,3,Yes,No,0
30,No,Low Income,2,Yes,No,0
36,No,Low Income,1,No,Yes,0
,Yes,High Income,1,No,No,0
36,No,Middle Income,6,No,Yes,1
,No,Low Income,2,No,No,0
,No,Middle Income,,Yes,No,0
,Yes,High Income,1,No,No,1
37,Yes,Low Income,1,Yes,No,0
30,No,Middle Income,2,No,Yes,0
35,No,Middle Income,1,Yes,Yes,0
27,Yes,Low Income,1,Yes,No,1
36,No,Middle Income,3,No,No,0
35,No,Middle Income,,No,No,0
30,No,Low Income,1,No,Yes,0
31,Yes,High Income,1,No,No,0
30,No,Middle Income,1,Yes,Yes,0
,No,Low Income,5,Yes,No,1
36,No,Middle Income,3,No,Yes,0
,Yes,High Income,6,No,Yes,1
37,No,Low Income,,Yes,No,0
30,No,Middle Income,2,Yes,No,0
37,Yes,Low Income,1,No,Yes,0
36,Yes,Low Income,1,No,No,0
28,No,Middle Income,3,No,Yes,0
37,No,Middle Income,2,No,No,0
30,No,Low Income,1,Yes,Yes,0
30,Yes,High Income,,No,No,0
30,No,Middle Income,1,No,Yes,0
30,No,Low Income,2,No,Yes,0
31,No Record,Middle Income,5,Yes,No,0
30,Yes,High Income,1,Yes,No,1
,No,Low Income,1,No,No,0
37,No,Middle Income,2,No,No,0
,No,Middle Income,6,No,Yes,0
37,Yes,Low Income,1,Yes,No,1
36,Yes,Low Income,3,Yes,No,1
31,No,Middle Income,2,No,No,0
27,No,Low Income,1,No,No,0
33,Yes,High Income,1,No,Yes,0
27,No,Middle Income,1,Yes,Yes,0
37,No Record,Low Income,,Yes,No,1
30,No,Middle Income,3,No,Yes,0
,Yes,High Income,5,No,No,1
,No,Low Income,1,Yes,Yes,0
30,No,Middle Income,2,No,No,0
33,No,Middle Income,1,Yes,Yes,0
,Yes,Low Income,1,No,No,0
37,No,Middle Income,,No,No,0
30,No,Middle Income,6,No,Yes,0
33,Yes,Low Income,1,Yes,Yes,0
30,Yes,High Income,1,Yes,No,0
30,No Record,Middle Income,1,No,Yes,0
36,No,Low Income,2,Yes,No,1
37,No,Middle Income,3,No,Yes,0
37,Yes,High Income,,No,No,1
37,No,Low Income,5,Yes,No,1
31,No,Low Income,2,No,No,0
31,No,Middle Income,1,No,Yes,0
30,Yes,Low Income,1,No,Yes,0
,No,Middle Income,3,Yes,No,0
37,No,Middle Income,2,Yes,No,0
30,No,Low Income,,Yes,No,0
37,Yes,High Income,1,No,No,0
38,Yes,Low Income,6,No,Yes,0
30,No,Low Income,2,No,No,0
30,No,Middle Income,3,Yes,Yes,0
36,Yes,High Income,1,No,No,1
35,No,Low Income,1,No,No,0
31,No,Middle Income,5,No,Yes,0
30,No,Middle Income,1,Yes,Yes,0
,Yes,Low Income,1,Yes,No,1
36,No,Middle Income,3,No,No,0
37,No,Middle Income,2,No,No,0
,No Record,Low Income,1,No,Yes,0
28,Yes,High Income,1,No,No,1
30,No,Middle Income,,Yes,Yes,0
30,No,Low Income,2,No,No,0
,No,Low Income,3,No,No,0
31,Yes,High Income,6,No,Yes,1
37,No,Low Income,1,Yes,No,0
30,No,Middle Income,2,Yes,No,0
37,No,Middle Income,5,No,Yes,1
33,Yes,Low Income,,No,No,0
30,No,Middle Income,3,No,Yes,0
31,No Record,Low Income,2,No,No,0
38,No,Low Income,1,Yes,No,0
,Yes,High Income,1,No,No,0
30,No,Middle Income,1,No,Yes,0
35,No,Low Income,2,Yes,Yes,1
27,No,Middle Income,,Yes,No,0
,Yes,High Income,1,Yes,No,1
,No,Low Income,1,No,No,0
27,No,Middle Income,2,No,No,1
,No,Middle Income,6,No,Yes,0
,Yes,Low Income,5,No,No,0
30,No Record,Middle Income,3,Yes,No,0
31,No,Middle Income,,No,No,0
,No,Low Income,1,Yes,Yes,0
31,Yes,High Income,1,No,Yes,0
31,No,Middle Income,1,Yes,Yes,0
37,No,Low Income,2,Yes,No,1
37,No,Middle Income,3,No,No,0
30,Yes,High Income,1,No,No,1
35,No,Low Income,,No,Yes,0
38,No,Middle Income,2,No,No,0
30,No,Low Income,1,Yes,Yes,0
30,Yes,Low Income,1,Yes,No,1
28,No,Middle Income,5,No,No,0
35,No,Middle Income,6,No,Yes,0
30,No,Low Income,1,Yes,No,0
30,Yes,High Income,,Yes,No,0
37,No,Middle Income,1,No,Yes,0
,Yes,Low Income,2,No,No,0
,No,Middle Income,3,No,Yes,0
,Yes,High Income,1,No,No,1
33,No,Low Income,1,Yes,No,0
31,No,Middle Income,2,No,No,0
,No Record,Middle Income,,No,Yes,0
31,Yes,Low Income,1,No,Yes,0
33,Yes,Low Income,3,Yes,No,1
,No,Middle Income,5,Yes,No,0
37,No,Low Income,1,No,Yes,0
33,Yes,High Income,1,No,No,0
31,No,Middle Income,6,No,Yes,0
28,No,Low Income,,Yes,No,1
36,No,Middle Income,3,Yes,No,0
33,Yes,High Income,1,No,No,1
31,No,Low Income,1,No,No,0
27,No Record,Middle Income,2,No,Yes,1
37,No,Middle Income,1,Yes,Yes,0
,Yes,Low Income,1,Yes,No,1
30,No,Middle Income,,No,No,0
30,No,Middle Income,2,No,No,0
27,No,Low Income,5,Yes,Yes,0
37,Yes,High Income,1,No,No,0
31,No,Middle Income,1,Yes,Yes,0
30,No,Low Income,2,No,No,0
35,No,Middle Income,3,No,Yes,0
31,Yes,High Income,6,No,Yes,1
30,No Record,Low Income,1,Yes,No,0
35,Yes,Low Income,2,Yes,No,0
37,No,Middle Income,1,No,Yes,0
28,Yes,Low Income,1,Yes,No,1
37,No,Middle Income,3,No,Yes,0
,No,Middle Income,2,No,No,0
37,No,Low Income,,Yes,Yes,0
,Yes,High Income,5,No,No,0
36,Yes,Low Income,1,No,Yes,0
38,No,Low Income,2,No,Yes,0
30,No,Middle Income,3,Yes,No,0
31,Yes,High Income,1,Yes,No,1
31,No,Low Income,1,Yes,No,0
28,No,Middle Income,,No,No,1
30,No,Middle Income,6,No,Yes,0
37,Yes,Low Income,1,No,No,0
31,No,Middle Income,3,Yes,No,0
31,No,Middle Income,2,No,No,0
36,No,Low Income,1,No,No,0
30,Yes,High Income,1,No,Yes,0
30,No,Middle Income,5,Yes,Yes,0
31,No,Low Income,2,Yes,No,1
38,Yes,Low Income,3,No,Yes,1
37,Yes,High Income,1,No,No,1
35,No,Low Income,1,No,Yes,0
30,No,Middle Income,2,No,No,0
,No,Middle Income,1,Yes,Yes,0
,Yes,Low Income,,No,No,0
35,No,Middle Income,3,No,No,0
28,No,Low Income,6,No,Yes,1
37,No,Low Income,1,Yes,Yes,0
30,Yes,High Income,1,Yes,No,0
,No,Middle Income,1,No,Yes,0
30,No Record,Low Income,5,No,No,0
37,No,Middle Income,,No,Yes,0
33,Yes,High Income,1,No,No,1
30,No,Low Income,1,Yes,No,0
31,No,Middle Income,2,No,No,0
28,No,Middle Income,1,No,Yes,0
,Yes,Low Income,1,Yes,Yes,1
,No,Middle Income,3,Yes,No,0
36,No,Middle Income,,Yes,No,0
30,No,Low Income,1,No,No,0
36,Yes,High Income,1,No,No,0
38,No Record,Middle Income,6,No,Yes,0
27,No,Low Income,2,No,No,1
,No,Middle Income,5,Yes,Yes,0
35,Yes,High Income,1,No,No,1
30,No,Low Income,,Yes,No,0
31,No,Middle Income,2,No,Yes,0
30,No,Low Income,1,Yes,Yes,0
28,Yes,Low Income,1,Yes,No,1
28,No,Middle Income,3,No,No,0
31,No,Middle Income,2,No,No,0
30,No,Low Income,1,No,Yes,0
31,Yes,High Income,,No,No,0
28,No,Middle Income,1,Yes,Yes,0
30,No,Low Income,2,Yes,No,1
38,No,Middle Income,3,No,No,0
35,Yes,High Income,6,No,Yes,1
,No,Low Income,1,Yes,No,0
30,No,Middle Income,2,Yes,No,0
30,No,Middle Income,,No,Yes,0
38,Yes,Low Income,1,No,No,0
36,Yes,Low Income,3,No,Yes,1
31,No,Middle Income,2,No,No,0
31,No Record,Low Income,1,Yes,No,0
,Yes,High Income,1,No,No,0
33,No,Middle Income,1,No,Yes,0
30,No,Low Income,,No,Yes,0
36,No,Middle Income,3,Yes,Yes,0
,Yes,High Income,1,Yes,No,1
,No,Low Income,5,No,No,0
27,No,Middle Income,2,No,No,1
31,No,Middle Income,6,No,Yes,0
36,Yes,Low Income,1,Yes,No,1
37,No,Middle Income,,Yes,No,0
30,No Record,Middle Income,2,No,No,0
30,No,Low Income,1,No,Yes,0
30,Yes,High Income,1,No,Yes,0
37,No,Middle Income,1,Yes,Yes,0
28,No,Low Income,2,Yes,No,1
37,No,Middle Income,3,No,No,0
28,Yes,High Income,,No,No,1
37,No,Low Income,1,Yes,Yes,0
,No,Low Income,5,No,No,0
,No,Middle Income,1,Yes,Yes,0
,Yes,Low Income,1,No,No,0
35,No Record,Middle Income,3,No,No,0
30,No,Middle Income,6,No,Yes,0
28,No,Low Income,,Yes,No,0
30,Yes,High Income,1,Yes,No,0
36,Yes,Low Income,1,No,Yes,0
28,No,Low Income,2,Yes,No,1
35,No,Middle Income,3,No,Yes,0
36,Yes,High Income,1,No,No,1
31,No,Low Income,1,Yes,No,0
30,No,Middle Income,,No,No,0
,No,Middle Income,5,No,Yes,0
33,Yes,Low Income,1,No,Yes,0
37,No,Middle Income,3,Yes,No,0
36,No,Middle Income,2,Yes,No,0
28,No,Low Income,1,Yes,Yes,0
28,Yes,High Income,1,No,No,1
37,No,Middle Income,6,No,Yes,0
30,No,Low Income,2,No,No,0
,No,Low Income,3,Yes,No,0
30,Yes,High Income,1,No,No,1
30,No,Low Income,1,No,No,0
,No,Middle Income,2,No,Yes,0
36,No Record,Middle Income,1,Yes,Yes,0
30,Yes,Low Income,5,Yes,No,1
30,No,Middle Income,3,No,No,0
,Yes,Low Income,2,No,No,0
27,No,Low Income,1,No,Yes,0
37,Yes,High Income,1,No,No,0
27,No,Middle Income,1,Yes,Yes,0
31,No,Low Income,2,No,No,0
36,No,Middle Income,,No,Yes,0
30,Yes,High Income,6,No,Yes,1
27,No,Low Income,1,Yes,No,0
38,No Record,Middle Income,2,Yes,No,0
31,No,Middle Income,1,No,Yes,0
31,Yes,Low Income,1,No,No,0
30,No,Middle Income,5,No,Yes,0
37,No,Middle Income,,No,No,0
30,No,Low Income,1,Yes,Yes,0
31,Yes,High Income,1,No,No,0
